VeriSign Class 3 Code Signing 2010 CA	2a56cb1b389346b3ed08ff404a771e62	Softonic International	1980-01-01	2030-12-31	Dual Signer (Clean and PUA). Added after confirmation.
VeriSign Class 3 Code Signing 2010 CA	3ae6606f497a5293319ba52d6d589f30	Awareness Technologies, Inc.	1980-01-01	2030-12-31	Dual Signer (Clean and PUA). Added after confirmation.
VeriSign Class 3 Code Signing 2010 CA	15b77ea69743e1297fc68518b957107f	ShenZhen Thunder Networking Technologies Ltd.	2013-06-07	2013-09-10	Compromised Cert. Already in SymVT.
VeriSign Class 3 Code Signing 2010 CA	41033ef6198f3c995a5c4f369f305ed0	HANCOM. INC,	2013-10-12	2014-01-02	Compromised Cert. Already in SymVT.
VeriSign Class 3 Code Signing 2009-2 CA	7ef9c95a083b63d799015599dacee729	NEXON Corporation	2011-07-12	2011-08-10	Compromised Cert. Already in SymVT.
VeriSign Class 3 Code Signing 2010 CA	5cc53ba3e831a7dfdc7c28d5158fc380	Acer Incorporated	2015-06-15	2015-07-08	Compromised Cert. Already in SymVT.Etrack#3819679
VeriSign Class 3 Code Signing 2010 CA	21f33716e4db06fcf8641e0287e1e657	OPM Security Corporation	2012-04-06	2012-10-29	Compromised Cert. Already in SymVT.Etrack#3862343
Thawte Code Signing CA - G2	3e433e162220c47ec2efd4c9288cc5cd	ELPRO INFORMATICA LTDA ME	2015-03-31	2015-07-24	Compromised Cert. Already in SymVT.Etrack#3862342
VeriSign Class 3 Code Signing 2010 CA	31062e483e0106b18c982f0053185c36	MICRO DIGITAL INC.	2012-03-21	2014-02-21	Compromised Cert. Already in SymVT.Etrack#3862339
VeriSign Class 3 Code Signing 2010 CA	256541e204619033f8b09f9eb7c88ef8	HON HAI PRECISION INDUSTRY CO. LTD.	2015-02-19	2015-06-17	Compromised Cert. Already in SymVT.Etrack#3862328
